短地: duǎn de
嘀地: dí de
蹬地: dēng de
突地: tū de
忽地: hū de
霍地: huò de
蓦地: mò de
倏地: shū de
墩地: dūn de
般地: bān de
嗖地: sōu de
尹地: yǐn de
咻地: xiū de
羞地: xiū de
腾地: téng de
傻地: shǎ de
气地: qì de
怯地: qiè de
全地: quán de
求地: qiú de
取地: qǔ de
轻地: qīng de
起地: qǐ de
球地: qiú de
强地: qiáng de
愀地: qiǎo de
确地: què de
猛地: měng de
河地: hé de
哼地: hēng de
流利地: liú lì de
锐利地: ruì lì de
热烈地: rè liè de
努力地: nǔ lì de
逆流地: nì liú de
偶然地: ǒu rán de
喃喃地: nán nán de
楞楞地: léng léng de
哀怜地: āi lián de
安乐地: ān lè de
爱怜地: ài lián de
冷冷地: lěng lěng de
恼怒地: nǎo nù de
安宁地: ān níng de
牢牢地: láo láo de
轮流地: lún liú de
俐落地: lì luò de
柔软地: róu ruǎn de
凌乱地: líng luàn de
恶劣地: è liè de
偶尔地: ǒu ěr de
仁爱地: rén ài de
伦理地: lún lǐ de
伶俐地: líng lì de
忍耐地: rěn nài de
扰乱地: rǎo luàn de
例如地: lì rú de
怜爱地: lián ài de
软弱地: ruǎn ruò de
剌耳地: lá ěr de
哀哀地: āi āi de
恼人地: nǎo rén de
柔韧地: róu rèn de
柔柔地: róu róu de
柔弱地: róu ruò de
浓浓地: nóng nóng de
耐劳地: nài láo de
容纳地: róng nà de
恋爱地: liàn ài de
朗朗地: lǎng lǎng de
难熬地: nán áo de
理论地: lǐ lùn de
傲然地: ào rán de
愕然地: è rán de
落泪地: luò lèi de
暖暖地: nuǎn nuǎn de
暗然地: àn rán de
溺爱地: nì ài de
懦弱地: nuò ruò de
狼狈地: láng bèi de
内部地: nèi bù de
二八地: èr bā de
二倍地: èr bèi de
让步地: ràng bù de
两边地: liǎng biān de
两倍地: liǎng bèi de
能变地: néng biàn de
难辨地: nán biàn de
额部地: é bù de
流畅地: liú chàng de
热忱地: rè chén de
仁慈地: rén cí de
屡次地: lǚ cì de
如常地: rú cháng de
热诚地: rè chéng de
冗长地: rǒng cháng de
日常地: rì cháng de
如刺地: rú cì de
两侧地: liǎng cè de
励磁地: lì cí de
连串地: lián chuàn de
临床地: lín chuáng de
恶臭地: è chòu de
潦草地: liáo cǎo de
露出地: lù chū de
露齿地: lù chǐ de
落地灯: luò de dēng
恶毒地: è dú de
冷淡地: lěng dàn de
能断地: néng duàn de
难得地: nán de de
懒惰地: lǎn duò de
连带地: lián dài de
虐待地: nüè dài de
逆动地: nì dòng de
唠叨地: láo dāo de
流动地: liú dòng de
难读地: nán dú de
难懂地: nán dǒng de
鲁钝地: lǔ dùn de
浪费地: làng fèi de
内行地: nèi háng de
爱抚地: ài fǔ de
安份地: ān fèn de
落后地: luò hòu de
厉害地: lì hài de
来回地: lái huí de
灵活地: líng huó de
软化地: ruǎn huà de
柔和地: róu hé de
浓厚地: nóng hòu de
历害地: lì hài de
如火地: rú huǒ de
良好地: liáng hǎo de
怒吠地: nù fèi de
柔滑地: róu huá de
逆风地: nì fēng de
偶发地: ǒu fā de
脸红地: liǎn hóng de
懊悔地: ào huǐ de
黏附地: nián fù de
难过地: nán guò de
乐观地: lè guān de
牢固地: láo gù de
爱国地: ài guó de
昂贵地: áng guì de
人工地: rén gōng de
肉感地: ròu gǎn de
连贯地: lián guàn de
能干地: néng gàn de
露骨地: lù gǔ de
廉价地: lián jià de
按级地: àn jí de
安静地: ān jìng de
内疚地: nèi jiù de
冷静地: lěng jìng de
宁静地: níng jìng de
立即地: lì jí de
冷峻地: lěng jùn de
利己地: lì jǐ de
连结地: lián jié de
拉紧地: lā jǐn de
耐久地: nài jiǔ de
难解地: nán jiě de
累积地: lěi jī de
拗口地: ào kǒu de
立刻地: lì kè de
冷酷地: lěng kù de
认可地: rèn kě de
热狂地: rè kuáng de
离口地: lí kǒu de
难看地: nán kàn de
难堪地: nán kān de
鲁莽地: lǔ mǎng de
暧昧地: ài mèi de
傲慢地: ào màn de
那么地: nà me de
浪漫地: làng màn de
暖昧地: nuǎn mèi de
礼貌地: lǐ mào de
如梦地: rú mèng de
冷漠地: lěng mò de
灵明地: líng míng de
灵敏地: líng mǐn de
怜悯地: lián mǐn de
浓密地: nóng mì de
匿名地: nì míng de
流氓地: liú máng de
联盟地: lián méng de
如泡地: rú pào de
罗盘地: luó pán de
融洽地: róng qià de
热切地: rè qiè de
哀求地: āi qiú de
灵巧地: líng qiǎo de
按期地: àn qī de
热情地: rè qíng de
如期地: rú qī de
年轻地: nián qīng de
离奇地: lí qí de
历史地: lì shǐ de
懒散地: lǎn sǎn de
